iter	Passed	Remaining
0	140	140798
1	142	71055
2	143	47716
3	144	36026
4	145	29004
5	146	24351
6	148	21028
7	149	18587
8	151	16655
9	152	15128
10	154	13849
11	155	12775
12	156	11868
13	157	11087
14	158	10408
15	159	9816
16	160	9296
17	161	8829
18	163	8429
19	164	8070
20	166	7747
21	167	7437
22	169	7186
23	170	6940
24	171	6705
25	173	6493
26	174	6292
27	175	6097
28	176	5924
29	178	5771
30	179	5625
31	181	5479
32	182	5337
33	183	5207
34	184	5092
35	185	4977
36	187	4868
37	188	4767
38	189	4669
39	190	4580
40	192	4495
41	193	4417
42	194	4335
43	195	4255
44	196	4180
45	198	4107
46	199	4040
47	200	3981
48	202	3925
49	203	3870
50	205	3824
51	207	3774
52	208	3720
53	209	3668
54	210	3614
55	211	3561
56	212	3510
57	213	3461
58	214	3419
59	215	3377
60	216	3335
61	217	3296
62	219	3260
63	221	3232
64	222	3195
65	223	3161
66	224	3129
67	226	3098
68	227	3067
69	228	3035
70	229	3005
71	230	2976
72	232	2947
73	233	2920
74	235	2903
75	236	2880
76	238	2855
77	239	2829
78	240	2805
79	241	2781
80	242	2756
81	244	2733
82	244	2703
83	245	2681
84	246	2658
85	248	2638
86	249	2622
87	251	2603
88	252	2583
89	253	2565
90	254	2546
91	256	2529
92	257	2513
93	258	2494
94	259	2475
95	261	2459
96	262	2442
97	263	2427
98	265	2411
99	266	2396
100	267	2381
101	268	2366
102	269	2350
103	271	2335
104	272	2320
105	273	2304
106	274	2291
107	275	2277
108	276	2262
109	277	2248
110	279	2237
111	280	2225
112	281	2212
113	283	2200
114	284	2189
115	285	2179
116	287	2166
117	288	2154
118	289	2143
119	290	2130
120	291	2120
121	292	2108
122	294	2098
123	295	2088
124	296	2076
125	297	2066
126	298	2053
127	299	2043
128	301	2033
129	302	2024
130	303	2014
131	304	2004
132	305	1994
133	307	1985
134	308	1979
135	310	1970
136	311	1961
137	312	1952
138	313	1944
139	315	1936
140	316	1928
141	317	1917
142	318	1908
143	319	1900
144	320	1891
145	322	1883
146	323	1877
147	324	1869
148	326	1862
149	327	1854
150	328	1845
151	329	1837
152	330	1829
153	331	1821
154	332	1814
155	334	1807
156	335	1800
157	336	1793
158	338	1788
159	339	1781
160	340	1772
161	341	1765
162	342	1759
163	343	1752
164	345	1746
165	346	1740
166	347	1733
167	348	1727
168	350	1721
169	351	1716
170	353	1711
171	354	1706
172	355	1699
173	356	1693
174	357	1687
175	358	1680
176	360	1674
177	361	1667
178	362	1661
179	363	1655
180	364	1649
181	366	1645
182	367	1641
183	368	1635
184	369	1629
185	370	1623
186	372	1618
187	373	1614
188	374	1609
189	376	1604
190	377	1598
191	378	1593
192	380	1589
193	381	1584
194	382	1580
195	384	1575
196	385	1570
197	386	1565
198	387	1560
199	389	1556
200	390	1551
201	391	1546
202	392	1541
203	394	1539
204	395	1535
205	397	1532
206	398	1528
207	400	1526
208	402	1522
209	403	1518
210	405	1514
211	406	1509
212	407	1506
213	408	1501
214	410	1499
215	412	1495
216	413	1491
217	414	1487
218	415	1483
219	416	1478
220	418	1474
221	419	1469
222	420	1465
223	421	1461
224	422	1456
225	424	1452
226	425	1450
227	427	1447
228	428	1443
229	430	1440
230	431	1436
231	432	1433
232	434	1429
233	435	1425
234	436	1421
235	437	1417
236	439	1415
237	441	1412
238	442	1409
239	443	1405
240	444	1401
241	445	1396
242	447	1392
243	448	1389
244	449	1385
245	450	1381
246	451	1377
247	453	1374
248	454	1370
249	455	1366
250	456	1362
251	457	1359
252	458	1355
253	460	1351
254	461	1348
255	462	1345
256	464	1341
257	465	1338
258	466	1334
259	467	1330
260	468	1327
261	470	1324
262	471	1322
263	472	1318
264	474	1315
265	475	1312
266	476	1308
267	478	1305
268	479	1302
269	480	1298
270	481	1295
271	482	1291
272	483	1288
273	485	1285
274	486	1282
275	487	1279
276	489	1276
277	490	1273
278	491	1269
279	492	1266
280	493	1263
281	494	1260
282	496	1256
283	497	1253
284	498	1250
285	500	1248
286	501	1245
287	502	1242
288	503	1239
289	505	1236
290	506	1233
291	507	1230
292	508	1227
293	509	1224
294	511	1221
295	512	1218
296	513	1216
297	515	1213
298	516	1210
299	517	1207
300	518	1205
301	520	1202
302	521	1199
303	522	1196
304	523	1193
305	525	1190
306	526	1188
307	527	1185
308	529	1183
309	530	1180
310	531	1177
311	532	1174
312	534	1172
313	535	1169
314	536	1166
315	537	1163
316	538	1160
317	539	1157
318	540	1154
319	542	1152
320	543	1150
321	545	1147
322	545	1144
323	547	1141
324	548	1138
325	548	1135
326	549	1131
327	550	1128
328	551	1125
329	552	1122
330	553	1119
331	554	1116
332	555	1113
333	556	1110
334	558	1109
335	560	1106
336	561	1104
337	562	1101
338	563	1098
339	564	1095
340	565	1093
341	566	1090
342	568	1087
343	569	1085
344	570	1082
345	571	1080
346	573	1078
347	574	1076
348	575	1073
349	576	1071
350	577	1068
351	579	1066
352	580	1064
353	581	1062
354	583	1059
355	584	1056
356	585	1054
357	586	1051
358	587	1049
359	589	1047
360	590	1045
361	591	1042
362	592	1040
363	593	1037
364	594	1035
365	596	1032
366	597	1030
367	598	1027
368	599	1025
369	600	1023
370	602	1021
371	603	1019
372	605	1017
373	606	1014
374	607	1012
375	608	1010
376	609	1007
377	610	1004
378	611	1002
379	612	999
380	614	997
381	615	995
382	616	993
383	618	991
384	619	989
385	620	987
386	621	984
387	622	982
388	623	980
389	625	977
390	626	975
391	627	973
392	628	970
393	630	969
394	631	967
395	632	965
396	634	963
397	635	960
398	636	958
399	637	956
400	638	954
401	639	951
402	641	949
403	642	947
404	643	945
405	644	943
406	645	941
407	647	938
408	648	936
409	649	934
410	650	932
411	651	930
412	653	928
413	654	926
414	655	923
415	656	921
416	657	919
417	658	917
418	660	915
419	662	914
420	663	912
421	664	910
422	666	908
423	667	906
424	668	904
425	669	901
426	670	899
427	671	897
428	672	895
429	673	893
430	675	891
431	676	889
432	677	887
433	679	885
434	680	883
435	681	881
436	682	878
437	683	877
438	684	875
439	686	873
440	687	871
441	688	869
442	689	867
443	691	865
444	692	864
445	694	862
446	695	860
447	696	858
448	697	856
449	699	854
450	700	853
451	702	851
452	703	849
453	704	847
454	706	846
455	708	844
456	709	843
457	710	841
458	712	839
459	713	837
460	714	835
461	715	833
462	716	831
463	718	829
464	722	831
465	724	830
466	726	828
467	727	826
468	728	824
469	729	822
470	730	820
471	731	818
472	733	817
473	735	815
474	736	814
475	738	812
476	740	811
477	741	809
478	742	807
479	744	806
480	745	804
481	746	802
482	748	801
483	750	799
484	752	798
485	753	796
486	754	794
487	755	793
488	757	791
489	758	789
490	760	788
491	761	786
492	763	784
493	764	783
494	766	781
495	767	780
496	769	778
497	770	776
498	771	775
499	773	773
500	774	771
501	775	769
502	777	767
503	778	765
504	779	764
505	781	762
506	782	760
507	783	759
508	784	757
509	785	755
510	787	753
511	788	751
512	789	749
513	790	747
514	791	745
515	793	744
516	794	742
517	796	741
518	797	739
519	798	737
520	799	735
521	801	733
522	802	731
523	803	730
524	804	728
525	806	726
526	807	724
527	808	723
528	810	721
529	811	720
530	813	718
531	814	716
532	815	714
533	816	712
534	817	710
535	819	709
536	820	707
537	821	705
538	822	703
539	823	701
540	825	700
541	826	698
542	827	696
543	828	694
544	829	692
545	831	691
546	832	689
547	833	687
548	834	685
549	836	684
550	837	682
551	839	680
552	840	679
553	842	677
554	843	676
555	845	675
556	846	673
557	880	697
558	882	695
559	883	694
560	884	692
561	886	691
562	888	689
563	889	687
564	890	685
565	892	684
566	893	682
567	895	680
568	896	679
569	898	677
570	900	676
571	902	675
572	903	673
573	904	671
574	907	671
575	909	669
576	910	667
577	911	665
578	912	663
579	913	661
580	914	659
581	916	658
582	917	656
583	918	654
584	919	652
585	921	650
586	925	651
587	927	650
588	929	648
589	931	647
590	933	645
591	934	643
592	935	642
593	937	640
594	938	638
595	939	636
596	940	634
597	941	633
598	942	631
599	944	629
600	945	628
601	947	626
602	948	624
603	949	622
604	950	620
605	951	618
606	952	616
607	953	615
608	954	613
609	955	611
610	957	609
611	958	607
612	959	605
613	961	604
614	962	602
615	963	600
616	964	598
617	965	596
618	966	595
619	968	593
620	969	591
621	970	589
622	971	588
623	974	587
624	975	585
625	977	583
626	978	582
627	979	580
628	980	578
629	982	576
630	983	574
631	984	573
632	985	571
633	987	569
634	990	569
635	991	567
636	993	565
637	994	564
638	995	562
639	996	560
640	997	558
641	998	556
642	999	555
643	1000	553
644	1001	551
645	1003	549
646	1004	547
647	1005	546
648	1007	544
649	1008	542
650	1009	540
651	1010	539
652	1011	537
653	1012	535
654	1013	533
655	1014	532
656	1015	530
657	1017	528
658	1018	526
659	1019	525
660	1021	523
661	1022	522
662	1023	520
663	1024	518
664	1026	516
665	1027	515
666	1028	513
667	1029	511
668	1030	509
669	1031	508
670	1033	506
671	1034	505
672	1036	503
673	1037	501
674	1038	500
675	1039	498
676	1041	496
677	1042	495
678	1043	493
679	1044	491
680	1045	489
681	1046	488
682	1048	486
683	1049	484
684	1050	483
685	1052	481
686	1053	479
687	1054	478
688	1055	476
689	1056	474
690	1058	473
691	1059	471
692	1060	469
693	1062	468
694	1063	466
695	1065	465
696	1066	463
697	1067	462
698	1069	460
699	1070	458
700	1071	456
701	1072	455
702	1073	453
703	1074	451
704	1075	450
705	1077	448
706	1078	447
707	1080	445
708	1081	443
709	1082	442
710	1083	440
711	1084	438
712	1086	437
713	1087	435
714	1088	433
715	1089	432
716	1090	430
717	1092	428
718	1093	427
719	1094	425
720	1096	424
721	1097	422
722	1098	420
723	1099	419
724	1100	417
725	1101	415
726	1103	414
727	1104	412
728	1105	410
729	1106	409
730	1107	407
731	1109	406
732	1110	404
733	1111	402
734	1112	401
735	1113	399
736	1115	397
737	1116	396
738	1117	394
739	1118	393
740	1119	391
741	1121	389
742	1122	388
743	1123	386
744	1125	385
745	1126	383
746	1127	381
747	1128	380
748	1129	378
749	1131	377
750	1132	375
751	1133	373
752	1134	372
753	1135	370
754	1136	368
755	1138	367
756	1139	365
757	1140	364
758	1142	362
759	1143	361
760	1144	359
761	1145	357
762	1146	356
763	1147	354
764	1149	352
765	1150	351
766	1151	349
767	1152	348
768	1153	346
769	1155	345
770	1156	343
771	1157	341
772	1158	340
773	1160	338
774	1161	337
775	1162	335
776	1163	333
777	1164	332
778	1165	330
779	1167	329
780	1168	327
781	1169	326
782	1170	324
783	1171	322
784	1173	321
785	1174	319
786	1175	318
787	1176	316
788	1177	315
789	1179	313
790	1180	311
791	1181	310
792	1182	308
793	1183	307
794	1184	305
795	1186	303
796	1187	302
797	1188	300
798	1189	299
799	1190	297
800	1191	296
801	1192	294
802	1194	292
803	1195	291
804	1196	289
805	1197	288
806	1198	286
807	1199	285
808	1200	283
809	1201	281
810	1203	280
811	1204	278
812	1205	277
813	1206	275
814	1207	274
815	1208	272
816	1210	271
817	1211	269
818	1212	267
819	1213	266
820	1214	264
821	1215	263
822	1216	261
823	1218	260
824	1219	258
825	1220	257
826	1221	255
827	1223	254
828	1224	252
829	1225	251
830	1226	249
831	1227	247
832	1228	246
833	1229	244
834	1230	243
835	1232	241
836	1233	240
837	1234	238
838	1235	237
839	1236	235
840	1237	234
841	1239	232
842	1240	230
843	1241	229
844	1242	227
845	1243	226
846	1244	224
847	1245	223
848	1246	221
849	1248	220
850	1249	218
851	1250	217
852	1251	215
853	1253	214
854	1254	212
855	1255	211
856	1256	209
857	1258	208
858	1259	206
859	1260	205
860	1261	203
861	1263	202
862	1264	200
863	1266	199
864	1267	197
865	1268	196
866	1269	194
867	1270	193
868	1271	191
869	1272	190
870	1274	188
871	1275	187
872	1276	185
873	1278	184
874	1279	182
875	1280	181
876	1281	179
877	1282	178
878	1283	176
879	1285	175
880	1286	173
881	1287	172
882	1288	170
883	1289	169
884	1290	167
885	1292	166
886	1293	164
887	1295	163
888	1296	161
889	1297	160
890	1298	158
